Date,High,Low,Open,Close,Volume,Adj Close
2012-11-19,130556,129531,130030,130000,73700,130000
2012-11-20,130282,129332,130145,130203,31600,130203
2012-11-21,131321,130170,130300,131310,60400,131310
2012-11-23,132606,131700,131718,132606,23700,132606
2012-11-26,132500,131943,132237,132411,50200,132411
2012-11-27,132956,132001,132400,132004,48800,132004
2012-11-28,132415,130955,131800,132291,94000,132291
2012-11-29,132924,131495,132795,131875,47800,131875
2012-11-30,132420,131617,131873,131916,65900,131916
2012-12-03,132850,131700,132373,131890,51900,131890
2012-12-04,131887,130733,131775,130890,44200,130890
2012-12-05,131908,130545,131048,131444,64900,131444
2012-12-06,131801,130764,131695,131240,45700,131240
2012-12-07,131544,130500,131420,131090,45300,131090
2012-12-10,131090,130497,131090,130788,71600,130788
2012-12-11,131349,130432,130859,130831,90800,130831
2012-12-12,135010,131100,131100,134000,332700,134000
2012-12-13,134745,133542,134500,134200,145800,134200
2012-12-14,134561,133662,134375,133795,93000,133795
2012-12-17,135000,134320,134495,134850,146800,134850
2012-12-18,135700,134750,134980,135700,212700,135700
2012-12-19,136015,134720,135000,135200,147800,135200
2012-12-20,136208,135025,135055,135936,158500,135936
2012-12-21,135677,134550,135145,134800,111600,134800
2012-12-24,135002,134003,134305,134660,69100,134660
2012-12-26,134940,133511,134650,133927,90400,133927
2012-12-27,134499,133125,134200,133900,135300,133900
2012-12-28,133649,132901,133649,133000,134500,133000
2012-12-31,134596,132400,132500,134060,119800,134060
2013-01-02,139627,136850,136850,139610,83200,139610
2013-01-03,141476,139278,140000,140549,100200,140549
2013-01-04,141004,140047,140879,140803,34700,140803
2013-01-07,140949,139731,140949,140190,60400,140190
2013-01-08,141000,139584,140195,141000,61700,141000
2013-01-09,141365,139819,141188,140000,39400,140000
2013-01-10,142000,140247,140750,141768,55400,141768
2013-01-11,142050,141390,142000,141525,40200,141525
2013-01-14,143043,141320,141745,143000,37800,143000
2013-01-15,143401,142131,142544,143205,41500,143205
2013-01-16,143146,142500,143000,142964,49600,142964
2013-01-17,143607,142738,143228,143484,46400,143484
2013-01-18,143792,142670,143700,143502,85200,143502
2013-01-22,144805,143014,143585,144805,68500,144805
2013-01-23,145690,144250,144775,145568,40700,145568
2013-01-24,147250,145635,145635,146227,115800,146227
2013-01-25,147312,145963,146700,147290,72000,147290
2013-01-28,147475,146420,147475,146720,42400,146720
2013-01-29,146810,146000,146640,146495,57100,146495
2013-01-30,146600,145270,146600,145505,40800,145505
2013-01-31,146150,144555,145250,145875,58400,145875
2013-02-01,148562,146106,146759,147086,47700,147086
2013-02-04,146943,145010,146943,145010,27300,145010
2013-02-05,147323,145879,145879,146825,39200,146825
2013-02-06,147090,146401,146600,146735,40600,146735
2013-02-07,147350,146175,146944,146260,54900,146260
2013-02-08,146686,145521,146320,146374,26400,146374
2013-02-11,146597,145835,146220,145835,17300,145835
2013-02-12,147362,146100,146200,147125,34900,147125
2013-02-13,147767,147046,147126,147750,46500,147750
2013-02-14,149804,147478,147750,149240,50000,149240
2013-02-15,153090,149620,149815,150141,54600,150141
2013-02-19,152498,150099,150250,152498,55100,152498
2013-02-20,153160,151000,152695,151000,106300,151000
2013-02-21,151369,150048,151002,150500,45100,150500
2013-02-22,152362,150904,151495,152009,48100,152009
2013-02-25,153010,148215,152251,149900,53900,149900
2013-02-26,149599,147950,149524,148320,40600,148320
2013-02-27,152099,148353,148400,151916,47900,151916
2013-02-28,153739,152323,152450,152600,87800,152600
2013-03-01,153500,150800,152364,152750,51200,152750
2013-03-04,153000,150803,152378,152955,97400,152955
2013-03-05,155230,153200,153999,154425,57100,154425
